Metric,count,unique,top,freq,mean,std,min,25%,50%,75%,max
uid,83.0,46.0,u00,2.0,,,,,,,
type,83.0,2.0,pre,46.0,,,,,,,
I lead a purposeful and meaningful life,83.0,,,,5.590361445783133,1.3707408053926957,1.0,5.0,6.0,7.0,7.0
My social relationships are supportive and rewarding,83.0,,,,5.313253012048193,1.5296078793182664,1.0,5.0,6.0,6.0,7.0
I am engaged and interested in my daily activities,80.0,,,,5.025,1.4317821063276353,2.0,4.0,5.0,6.0,7.0
I actively contribute to the happiness and well-being of others,82.0,,,,5.024390243902439,1.405242475066422,1.0,4.25,5.0,6.0,7.0
I am competent and capable in the activities that are important to me,82.0,,,,5.451219512195122,1.3254623141686226,2.0,5.0,6.0,6.0,7.0
I am a good person and live a good life,82.0,,,,5.7439024390243905,1.5300365170317891,1.0,5.0,6.0,7.0,7.0
I am optimistic about my future,83.0,,,,5.445783132530121,1.5401378782765724,1.0,5.0,6.0,7.0,7.0
People respect me,83.0,,,,5.228915662650603,1.271884536146373,2.0,4.0,5.0,6.0,7.0
